File ID,Rep ID,Treatment,Spp,Timepoint,Cell count,Dilution ,Actual Cell count
Pc_TPC_T4_221021,R3,18c,PcB,T4,4356,1,4356
Pc_TPC_T4_221021,R1,20c,PcB,T4,9810,1,9810
Pc_TPC_T4_221021,R2,20c,PcB,T4,9049,1,9049
Pc_TPC_T4_221021,R3,20c,PcB,T4,7618,1,7618
Pc_TPC_T4_221021,R1,23c,PcB,T4,7098,1,7098
Pc_TPC_T4_221021,R2,23c,PcB,T4,10627,1,10627
Pc_TPC_T4_221021,R3,23c,PcB,T4,11631,1,11631
Pc_TPC_T4_221021,R1,25c,PcB,T4,7562,1,7562
Pc_TPC_T4_221021,R2,25c,PcB,T4,11805,1,11805
Pc_TPC_T4_221021,R3,25c,PcB,T4,15102,1,15102
Pc_TPC_T4_221021,R1,27c,PcB,T4,7162,1,7162
Pc_TPC_T4_221021,R2,27c,PcB,T4,5171,1,5171
Pc_TPC_T4_221021,R3,27c,PcB,T4,7930,1,7930
Pc_TPC_T4_221021,R1,29c,PcB,T4,3495,1,3495
Pc_TPC_T4_221021,R2,29c,PcB,T4,3973,1,3973
Pc_TPC_T4_221021,R3,29c,PcB,T4,4613,1,4613
Pc_TPC_T4_221021,R1,30c,PcB,T4,527,1,527
Pc_TPC_T4_221021,R2,30c,PcB,T4,496,1,496
Pc_TPC_T4_221021,R3,30c,PcB,T4,522,1,522
Pc_TPC_T5_231021,R1,15c,PcB,T5,2551,1,2551
Pc_TPC_T5_231021,R2,15c,PcB,T5,2302,1,2302
Pc_TPC_T5_231021,R3,15c,PcB,T5,2056,1,2056
Pc_TPC_T5_231021,R1,18c,PcB,T5,6347,1,6347
Pc_TPC_T5_231021,R2,18c,PcB,T5,5209,1,5209
Pc_TPC_T5_231021,R3,18c,PcB,T5,6344,1,6344
