File ID,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,,Cell,,,,
PcD_Recip_T8_110222,R5,PcD,27c,Control,,T8,"45,147",10,451470,,,,,,A11,,,,
PcD_Recip_T8_110222,R6,PcD,27c,Control,,T8,3506,1,3506,,,,,,A12,,,,
PcD_Recip_T8_110222,R1,PcD,23c,recip,27,T8,"35,224",10,352240,,,,,,B01,,,,
PcD_Recip_T8_110222,R2,PcD,23c,recip,27,T8,"32,403",10,324030,,,,,,B02,,,,
PcD_Recip_T8_110222,R3,PcD,23c,recip,27,T8,"31,276",10,312760,,,,,,B03,,,,
PcD_Recip_T8_110222,R4,PcD,23c,recip,27,T8,"36,314",10,363140,,,,,,B04,,,,
PcD_Recip_T8_110222,R5,PcD,23c,recip,27,T8,"34,652",10,346520,,,,,,B05,,,,
PcD_Recip_T8_110222,R6,PcD,23c,recip,27,T8,"19,895",1,19895,,,,,,B06,,,,
PcD_Recip_T8_110222,R1,PcD,27c,recip,23,T8,"6,493",1,6493,,,,,,B07,,,,
PcD_Recip_T8_110222,R2,PcD,27c,recip,23,T8,"11,418",1,11418,,,,,,B08,,,,
PcD_Recip_T8_110222,R3,PcD,27c,recip,23,T8,"13,183",1,13183,,,,,,B09,,,,
PcD_Recip_T8_110222,R4,PcD,27c,recip,23,T8,"10,316",1,10316,,,,,,B10,,,,
PcD_Recip_T8_110222,R5,PcD,27c,recip,23,T8,"12,918",1,12918,,,,,,B11,,,,
PcD_Recip_T8_110222,R6,PcD,27c,recip,23,T8,"18,965",1,18965,,,,,,B12,,,,
PcD_Recip_T9_120222,R1,PcD,23c,Control,,T9,"14,632",10,146320,,,,,,A01,,,,
PcD_Recip_T9_120222,R2,PcD,23c,Control,,T9,"4,851",10,48510,,,,,,A02,,,,
PcD_Recip_T9_120222,R3,PcD,23c,Control,,T9,"10,052",10,100520,,,,,,A03,,,,
PcD_Recip_T9_120222,R4,PcD,23c,Control,,T9,"14,869",10,148690,,,,,,A04,,,,
PcD_Recip_T9_120222,R5,PcD,23c,Control,,T9,"15,991",10,159910,,,,,,A05,,,,
PcD_Recip_T9_120222,R6,PcD,23c,Control,,T9,"16,229",10,162290,,,,,,A06,,,,
PcD_Recip_T9_120222,R1,PcD,27c,Control,,T9,"85,818",10,858180,,,,,,A07,,,,
PcD_Recip_T9_120222,R2,PcD,27c,Control,,T9,"95,041",10,950410,,,,,,A08,,,,
PcD_Recip_T9_120222,R3,PcD,27c,Control,,T9,"81,787",10,817870,,,,,,A09,,,,
PcD_Recip_T9_120222,R4,PcD,27c,Control,,T9,"82,718",10,827180,,,,,,A10,,,,
PcD_Recip_T9_120222,R5,PcD,27c,Control,,T9,"87,784",10,877840,,,,,,A11,,,,
PcD_Recip_T9_120222,R6,PcD,27c,Control,,T9,"4,443",1,4443,,,,,,A12,,,,
PcD_Recip_T9_120222,R1,PcD,23c,recip,27,T9,"73,215",10,732150,,,,,,B01,,,,
PcD_Recip_T9_120222,R2,PcD,23c,recip,27,T9,"59,028",10,590280,,,,,,B02,,,,
